task,seed,arm_A_nfe,arm_B_nfe,n_scenarios,R_per_arm,succ_A,succ_B,delta_pp,ci95_lo_pp,ci95_hi_pp,heldout_SE_R1_pp,signal_to_resolution,n_nested_R1_views,sign_disagree_frac,category_disagree_frac,practical_category
3c,42,1,4,96,3,0.7951,0.8854,+9.03,+0.87,+17.19,4.58,1.97,9,0.000,0.111,+
3c,43,1,4,96,3,0.8090,0.8368,+2.78,-6.42,+11.98,4.31,0.64,9,0.111,0.333,0
3c,44,1,4,96,3,0.8472,0.9097,+6.25,-1.57,+14.07,4.76,1.31,9,0.000,0.333,+
3c,42,2,4,96,3,0.8681,0.8854,+1.74,-6.77,+10.24,4.58,0.38,9,0.111,0.000,0
3c,43,2,4,96,3,0.8299,0.8368,+0.69,-8.33,+9.72,4.31,0.16,9,0.333,0.222,0
3c,44,2,4,96,3,0.8819,0.9097,+2.78,-4.69,+10.24,4.76,0.58,9,0.222,0.333,0
3c,42,1,2,96,3,0.7951,0.8681,+7.29,-1.74,+16.32,4.58,1.59,9,0.000,0.333,+
3c,43,1,2,96,3,0.8090,0.8299,+2.08,-7.12,+11.28,4.31,0.48,9,0.222,0.222,0
3c,44,1,2,96,3,0.8472,0.8819,+3.47,-4.69,+11.63,4.76,0.73,9,0.111,0.222,0
4c,42,2,4,96,3,0.6389,0.7118,+7.29,-3.47,+18.06,6.04,1.21,9,0.111,0.222,+
4c,43,2,4,96,3,0.6424,0.6771,+3.47,-7.81,+14.76,5.83,0.60,9,0.222,0.222,0
4c,44,2,4,96,3,0.6910,0.7188,+2.78,-7.64,+13.19,6.25,0.44,9,0.333,0.444,0
